,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5542817033224146,0.4790365744870651,0.6083289404322615,0.5076580339738235,0.4943217665615142,0.5469246318221196,0.4862932061978546,0.39157811885084615,0.5723176499875529,0.4130695443645084,0.4365984930032293,0.7222408587722241,0.679745493107105,0.7590539541759054,0.608508192009198,0.5140620469701362,0.7190422745978301,0.6122316200390371,0.562004530011325,0.5726265348906858,0.5438908659549229,0.565422132526068,0.5120906029996939,0.5281187553525549,0.5506094329623742,0.5689871827092234,0.5513650436251055,0.5091317785894914,0.5203342618384401,0.5548232491080867
Baseline 2: pre-trained model,0.741693963500234,0.6797502230151651,0.6251976805482341,0.7212475633528265,0.6006309148264984,0.6889979786312446,0.6087604290822408,0.5562770562770563,0.6036843415484192,0.7677857713828937,0.6428417653390742,0.8289164709828917,0.8006362672322376,0.8244641537324464,0.8407588387467663,0.8008118295158017,0.7407407407407407,0.7384515289525049,0.7137599093997735,0.74303683737646,0.6856465005931198,0.7531113353514968,0.6648301193755739,0.657151013417071,0.7742448330683624,0.7411409901985423,0.7821559245707852,0.5546501826355718,0.7596100278551532,0.7117581100430754
M-EMG,0.7267197005147403,0.7656853999405293,0.7377438060094886,0.7577276524644946,0.8309148264984227,0.7216286456829338,0.6257449344457687,0.669815033451397,0.573562359970127,0.7651878497202238,0.6365984930032292,0.8584367661858436,0.8579003181336161,0.8462675535846268,0.8367346938775511,0.8289359234560743,0.8593340815563038,0.7937540663630449,0.7165911664779162,0.7556154537286612,0.7416963226571768,0.819038008745375,0.7486991123354759,0.8170139880102769,0.8868574456809751,0.6659964815280222,0.6473402758232479,0.589491430177016,0.8161559888579387,0.7550754406510516
