,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.54364896073903,0.4717753729160573,0.5179220779220779,0.4982177131889224,0.48543087414755115,0.5379369138959932,0.48241725768321514,0.3871156091864539,0.4701694082985514,0.5697628458498024,0.4320357370772176,0.6312150148172538,0.6949740034662045,0.6379435191889935,0.5502121640735502,0.5047075606276747,0.6427262733602052,0.6009584664536741,0.5532329988851727,0.563181148748159,0.5350058343057176,0.547045229448663,0.5052663256093891,0.52627142455746,0.5511749347258486,0.5613382899628253,0.5084510944860072,0.5020746887966805,0.5112452002194185,0.5352916187116472
Baseline 2: pre-trained model,0.7263279445727483,0.741152383737935,0.6231168831168831,0.6959144502330683,0.5802851828890266,0.7240693378800795,0.5723995271867612,0.6196963799143635,0.5990670267616008,0.7442687747035573,0.5562646245479685,0.8416200197563385,0.695320623916811,0.7700941346850109,0.7029702970297029,0.7423680456490728,0.7482594356907292,0.6472843450479233,0.6440914158305463,0.6288659793814433,0.7459159859976663,0.6153846153846154,0.695154980439362,0.6704130373700478,0.685378590078329,0.7234200743494423,0.773067331670823,0.5532503457814661,0.7701590784421284,0.6839855466222569
M-EMG,0.7277136258660508,0.7926294238081311,0.6974025974025974,0.7343021661639704,0.8570985740855549,0.717249218527991,0.6471631205673759,0.6241728298949007,0.5150994353056715,0.8116600790513834,0.6385875345671134,0.8133026012512348,0.8939341421143847,0.7414916727009413,0.8113154172560113,0.7814550641940086,0.9120556980578967,0.8041533546325879,0.6920289855072463,0.6468335787923417,0.719369894982497,0.7900297127764939,0.6927475173036413,0.7833661140769879,0.8503916449086162,0.7434944237918215,0.6641729010806318,0.7598893499308437,0.6681294569391114,0.7424565563978637
