,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p1_111,p1_121,p1_141,p1_112,p1_122,p1_132,p1_142,avg
"Baseline 1: no pre-training, no meta training",0.6031042128603105,0.6527777777777778,0.6104218362282878,0.4786096256684492,0.6304985337243402,0.5594594594594594,0.6219512195121951,0.49107142857142855,0.4693333333333333,0.5951807228915663,0.48717948717948717,0.5361596009975063,0.5491990846681922,0.5603804863747949
Baseline 2: pre-trained model,0.4811529933481153,0.5555555555555556,0.4317617866004963,0.4572192513368984,0.5219941348973607,0.42162162162162165,0.45426829268292684,0.5803571428571429,0.5093333333333333,0.4963855421686747,0.4965034965034965,0.5461346633416458,0.4874141876430206,0.49536169245309913
M-EMG,0.647450110864745,0.6444444444444445,0.5831265508684863,0.46524064171123,0.5542521994134897,0.44324324324324327,0.6067073170731707,0.5044642857142857,0.49333333333333335,0.6240963855421687,0.49184149184149184,0.5610972568578554,0.5583524027459954,0.5521268972041492
