,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5089285714285714,0.42997198879551823,0.48125,0.45921052631578946,0.4423076923076923,0.49591280653950953,0.4624277456647399,0.3629489603024575,0.4106508875739645,0.510556621880998,0.41091658084449023,0.48119122257053293,0.5634266886326195,0.6192109777015438,0.4260515603799186,0.4637482900136799,0.4375,0.551829268292683,0.5120320855614974,0.5190409026798307,0.4930167597765363,0.639937106918239,0.5496402877697841,0.4784366576819407,0.6256281407035176,0.5244922341696535,0.4627659574468085,0.46082337317397076,0.4723684210526316,0.49159387297169377
Baseline 2: pre-trained model,0.5558035714285714,0.5882352941176471,0.655,0.5342105263157895,0.5621301775147929,0.5517711171662125,0.5382947976878613,0.5434782608695652,0.5171597633136095,0.5633397312859885,0.564366632337796,0.6442006269592476,0.6556836902800659,0.6775300171526587,0.6879240162822252,0.6265389876880985,0.5729166666666666,0.7179878048780488,0.6871657754010695,0.7023977433004231,0.7639664804469274,0.5911949685534591,0.7107913669064748,0.5754716981132075,0.7097989949748744,0.6654719235364397,0.6728723404255319,0.39575033200531207,0.6171052631578947,0.6154675368540159
M-EMG,0.6886160714285714,0.6876750700280112,0.5975,0.5552631578947368,0.5443786982248521,0.6253405994550408,0.5621387283236994,0.5491493383742911,0.5124260355029586,0.5614203454894434,0.5190525231719877,0.6520376175548589,0.7545304777594728,0.6689536878216124,0.6092265943012212,0.655266757865937,0.671875,0.739329268292683,0.6243315508021391,0.6502115655853314,0.6634078212290503,0.7594339622641509,0.7669064748201438,0.6792452830188679,0.835427135678392,0.6857825567502986,0.776595744680851,0.6586985391766268,0.8013157894736842,0.6570874618954797
